MA_ratio,FA_ratio,Cs_ratio,Pb_ratio,Sn_ratio,other_ratio,I_ratio,Br_ratio,po_electrode,ETL/ETM,HTL/HTM,ne_eletrode,effective area (cm^2),additive_O,additive_I,additive_H,passivation,step,dissolvent,coated1_s(rpm),coated1_t (s),coated2_s(rpm),coated2_t (s),anti-solvent,anneal_T (℃),anneal_t (min),,Jsc (mA/cm2),Voc (V),FF,PCE (%)
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,3,1,0.666666667,0.05,0,0,0,1,0,0.75,0.5,0.222222222,0,0,0.115,0.285714286,0.022222222,,0.650769231,0.644918444,0.920094007,0.479075329
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,3,1,1,0.042857143,0,0,0,0,0,1,0.75,0.333333333,0,0,0,0.285714286,0.333333333,,0.160307692,0.345043915,0.669800235,0.063770426
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,3,1,1,0.042857143,0,0,0,0,0,1,0.75,0.333333333,0,0,0,0.285714286,0.166666667,,0.181230769,0.407779172,0.740305523,0.09565564
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,3,1,1,0.042857143,0,0,0,0,0,1,0.75,0.333333333,0,0,0,0.285714286,0.166666667,,0.167384615,0.470514429,0.599294947,0.083698685
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,3,1,1,0.042857143,0,0,0,0,0,1,0.75,0.333333333,0,0,0,0.285714286,0.166666667,,0.097538462,0.388958595,0.728554642,0.099641291
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,3,1,1,0.042857143,0,0,0,0,0,0.25,1,0.333333333,0,0,0,0.285714286,0.166666667,,0.277538462,0.345043915,0.71680376,0.11956955
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,3,1,1,0.042857143,0,0,0,0,0,0.25,1,0.333333333,0,0,0,0.285714286,0.166666667,,0.317538462,0.376411543,0.740305523,0.155440415
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,3,1,1,0.042857143,0,0,0,0,0,0.25,1,0.333333333,0,0,0,0.285714286,0.166666667,,0.308615385,0.363864492,0.681551116,0.135512156
0,0.963391137,0,0.526315789,0,0,0.824515597,0,0.5,1,0.333333333,0.666666667,0.228571429,1,0,1,1,0,1,0.375,0.222222222,0,0,0.5,0.357142857,0.222222222,,0.797230769,0.730865747,0.976498237,1
0,0.963391137,0,0.526315789,0,0,0.824515597,0,0.5,1,0.333333333,0.666666667,0.228571429,0,0,0,0,0,1,0.375,0.222222222,0,0,0.5,0.357142857,0.222222222,,0.796,0.694479297,0.963572268,0.935831008
0,0,0.933271115,0.526315789,0,0,0.549677065,0.333333333,0.5,1,0.333333333,1,0.05,0,0,0,0,0,0.75,0.35,0.277777778,0,0,0,1,0.055555556,,0.361846154,0.608531995,0.681551116,0.263053009
0,0,0.933271115,0.526315789,0,0,0.549677065,0.333333333,0.5,1,0.333333333,1,0.05,0,0,0,0,0,0.75,0.35,0.277777778,0,0,0,1,0.055555556,,0.386153846,0.614805521,0.810810811,0.338780391
0,0,0.933271115,0.526315789,0,0,0.549677065,0.333333333,0.5,1,0.333333333,1,0.05,0,1,0,1,0,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,,0.415076923,0.633626098,0.681551116,0.314866481
0,0,0.933271115,0.526315789,0,0,0.549677065,0.333333333,0.5,1,0.333333333,1,0.05,0,1,0,1,0,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,,0.410461538,0.658720201,0.728554642,0.346751694
0,0,0.933271115,0.526315789,0,0,0.549677065,0.333333333,0.5,1,0.333333333,1,0.05,0,1,0,1,0,0.75,0.35,0.277777778,0,0,0,1,0.055555556,,0.422153846,0.734002509,0.799059929,0.43443603
0,0,0.933271115,0.526315789,0,0,0.549677065,0.333333333,0.5,1,0.333333333,1,0.05,0,1,0,1,0,0.75,0.35,0.277777778,0,0,0,1,0.055555556,,0.430153846,0.734002509,0.869565217,0.478278198
0.933271115,0,0,0,1,0,0.274838532,0.666666667,0.5,1,0.333333333,0.333333333,0.071428571,0,0,0,0,0,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,,0.501538462,0.426599749,0.564042303,0.208449582
0.933271115,0,0,0,1,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.071428571,0,0,0,0,0,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,,0.378461538,0.514429109,0.669800235,0.22837784
0,0.963391137,0,0.526315789,0,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.142857143,0,0,0,0,1,1,0.75,0.055555556,0.666666667,0.5,0,0.2,0.333333333,,0.198461538,0.608531995,0.807285546,0.171383021
